"Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","month","temp","NUM_COLLISIONS"
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,"Feb",37.9,0.56763590391909
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,"Feb",29,0.565107458912769
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,"Feb",23.4,0.503160556257901
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,"Feb",39.2,0.603034134007585
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,"Feb",33.8,0.644753476611884
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,"Feb",28,0.629582806573957
0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,"Feb",30,0.671302149178255
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,"Feb",38,0.65865992414665
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,"Feb",39.3,0.538558786346397
0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,"Feb",37.5,0.619469026548673
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,"Feb",39.9,0.678887484197219
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,"Feb",40.2,0.695322376738306
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,"Feb",45.2,0.653603034134008
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2013,"Mar",40,0.762326169405815
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2013,"Mar",36.7,0.599241466498104
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2013,"Mar",32.6,0.634639696586599
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2013,"Mar",32.8,0.754740834386852
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2013,"Mar",37.9,0.666245259165613
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2013,"Mar",40.1,0.600505689001264
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2013,"Mar",36.7,0.676359039190898
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2013,"Mar",43.7,0.719342604298357
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2013,"Mar",41.8,0.524652338811631
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2013,"Mar",44.7,0.65992414664981
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2013,"Mar",50.3,0.691529709228824
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2013,"Mar",45,0.804045512010114
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2013,"Mar",35.6,0.70417193426043
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2013,"Mar",36.1,0.767383059418458
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2013,"Mar",37.3,0.65865992414665
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2013,"Mar",33,0.538558786346397
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2013,"Mar",32.1,0.787610619469027
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2013,"Mar",36,0.706700379266751
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2013,"Mar",38.5,0.6826801517067
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2013,"Mar",35.7,0.642225031605563
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2013,"Mar",34,0.763590391908976
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2013,"Mar",38.4,0.616940581542351
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2013,"Mar",39.1,0.570164348925411
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2013,"Mar",38.3,0.629582806573957
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2013,"Mar",42.2,0.537294563843236
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2013,"Mar",43.8,0.557522123893805
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2013,"Mar",43.3,0.694058154235145
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2013,"Mar",46.7,0.657395701643489
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2013,"Mar",48,0.648546144121365
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2013,"Mar",49.3,0.538558786346397
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,"Apr",49.3,0.605562579013906
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,"Apr",38,0.552465233881163
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,"Apr",38.4,0.672566371681416
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,"Apr",39.9,0.715549936788875
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,"Apr",49,0.735777496839444
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,"Apr",43.1,0.671302149178255
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,"Apr",46.2,0.570164348925411
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,"Apr",59,0.735777496839444
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2013,"Apr",65.7,0.774968394437421
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2013,"Apr",65.1,0.733249051833123
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,"Apr",56.2,0.653603034134008
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013,"Apr",44.2,0.820480404551201
